address,name,instructions,known,unknown,blocks,literals,calls,dynamic_branches
0x8C017F34,sub_8C017F34,1291,1291,0,253,236,124,0
0x8C0187E2,sub_8C0187E2,319,319,0,59,106,48,0
0x8C0187E6,sub_8C0187E6,323,323,0,60,108,49,0
0x8C0187F2,sub_8C0187F2,323,323,0,60,108,49,0
0x8C0187FE,sub_8C0187FE,322,322,0,60,107,49,0
0x8C018808,sub_8C018808,322,322,0,60,107,49,0
0x8C018812,sub_8C018812,320,320,0,59,107,49,0
0x8C018818,sub_8C018818,317,317,0,58,106,48,0
0x8C018B00,sub_8C018B00,14,14,0,4,3,1,0
0x8C018B1C,sub_8C018B1C,3,3,0,1,1,0,0
0x8C018B22,sub_8C018B22,33,33,0,7,6,3,0
0x8C018C18,sub_8C018C18,9,9,0,2,2,1,0
0x8C018C2A,sub_8C018C2A,6,6,0,1,1,0,0
0x8C018C36,sub_8C018C36,33,33,0,7,6,3,0
0x8C018C8A,sub_8C018C8A,6,6,0,1,1,0,0
0x8C018C96,sub_8C018C96,32,32,0,6,4,2,0
0x8C018CD6,sub_8C018CD6,5,5,0,1,1,0,0
0x8C018CE0,sub_8C018CE0,6,6,0,1,1,0,0
0x8C018CEC,sub_8C018CEC,3,3,0,1,1,0,0
0x8C018CFC,sub_8C018CFC,3,3,0,1,1,0,0
0x8C018D02,sub_8C018D02,5,5,0,1,3,1,0
0x8C018D60,sub_8C018D60,44,44,0,5,11,4,0
0x8C018DE0,sub_8C018DE0,9,9,0,2,2,1,0
0x8C018DF2,sub_8C018DF2,589,589,0,114,116,64,0
0x8C01940E,sub_8C01940E,28,28,0,7,6,3,0
0x8C019446,sub_8C019446,16,16,0,4,2,1,0
0x8C019466,sub_8C019466,16,16,0,4,2,1,0
0x8C019486,sub_8C019486,96,96,0,14,24,13,0
0x8C0195EC,sub_8C0195EC,224,224,0,40,32,24,0
0x8C0197F6,sub_8C0197F6,28,28,0,6,9,5,0
0x8C019898,sub_8C019898,63,63,0,15,23,12,0
0x8C019916,sub_8C019916,35,35,0,6,13,6,0
0x8C0199A4,sub_8C0199A4,25,25,0,1,2,0,0
0x8C0199D6,sub_8C0199D6,71,71,0,16,1,0,0
0x8C019A64,sub_8C019A64,91,91,0,22,1,0,0
0x8C019B1A,sub_8C019B1A,34,34,0,9,3,2,0
0x8C019B5E,sub_8C019B5E,37,37,0,9,3,1,0
0x8C019BBC,sub_8C019BBC,44,44,0,11,3,1,0
0x8C019C14,sub_8C019C14,44,44,0,11,3,1,0
0x8C019C6C,sub_8C019C6C,53,53,0,16,3,2,0
0x8C019CD6,sub_8C019CD6,19,19,0,4,1,1,0
0x8C019DC4,sub_8C019DC4,56,56,0,12,20,12,0
0x8C019E34,sub_8C019E34,5,5,0,1,2,1,0
0x8C019E3E,sub_8C019E3E,34,34,0,9,14,9,0
0x8C019F10,sub_8C019F10,61,61,0,13,22,13,0
0x8C019F8A,sub_8C019F8A,63,63,0,5,13,0,0
0x8C01A0A4,sub_8C01A0A4,97,97,0,16,14,0,0
0x8C01A166,sub_8C01A166,29,29,0,11,2,3,0
0x8C01A1A0,sub_8C01A1A0,683,683,0,114,24,9,0
0x8C01A77C,sub_8C01A77C,20,20,0,1,2,0,0
0x8C01A7A4,sub_8C01A7A4,11,11,0,5,0,4,0
0x8C01A7CC,sub_8C01A7CC,51,51,0,14,9,5,0
0x8C01A832,sub_8C01A832,11,11,0,3,2,1,0
0x8C01A848,sub_8C01A848,33,33,0,9,9,8,0
0x8C01A8D8,sub_8C01A8D8,80,80,0,18,9,5,0
0x8C01A978,sub_8C01A978,62,62,0,13,9,5,0
0x8C01A9F4,sub_8C01A9F4,5,5,0,1,1,0,0
0x8C01AA2E,sub_8C01AA2E,479,479,0,117,120,96,0
0x8C01AA30,sub_8C01AA30,478,478,0,117,120,96,0
0x8C01AFAA,sub_8C01AFAA,62,62,0,16,18,13,0
0x8C01B026,sub_8C01B026,132,132,0,31,31,23,0
0x8C01B1E8,sub_8C01B1E8,10,10,0,3,3,1,0
0x8C01B208,sub_8C01B208,52,52,0,17,13,7,0
0x8C01B270,sub_8C01B270,520,520,0,123,89,43,0
0x8C01B7E0,sub_8C01B7E0,30,30,0,4,0,0,0
0x8C01B81C,sub_8C01B81C,47,47,0,9,0,0,0
0x8C01B87A,sub_8C01B87A,18,18,0,4,0,0,0
0x8C01B8DC,sub_8C01B8DC,34,34,0,3,2,2,0
0x8C01B920,sub_8C01B920,15,15,0,2,1,1,0
0x8C01B9C4,sub_8C01B9C4,31,31,0,6,6,0,0
0x8C01BA02,sub_8C01BA02,43,43,0,9,11,9,0
0x8C01BA58,sub_8C01BA58,179,179,0,45,24,12,0
0x8C01BC3A,sub_8C01BC3A,52,52,0,9,15,6,0
0x8C01BCA2,sub_8C01BCA2,113,113,0,24,19,8,0
0x8C01BDDA,sub_8C01BDDA,2,2,0,1,0,0,0
0x8C01BDDE,sub_8C01BDDE,2,2,0,1,0,0,0
0x8C01BDE2,sub_8C01BDE2,11,11,0,4,3,0,0
0x8C01BE2C,sub_8C01BE2C,70,70,0,16,22,11,0
0x8C01BF10,sub_8C01BF10,223,223,0,51,30,26,0
0x8C01C134,sub_8C01C134,59,59,0,12,18,11,0
0x8C01C1AA,sub_8C01C1AA,43,43,0,10,8,3,0
0x8C01C200,sub_8C01C200,21,21,0,5,4,3,0
0x8C01C28E,sub_8C01C28E,164,164,0,42,37,24,0
0x8C01C290,sub_8C01C290,163,163,0,41,37,23,0
0x8C01C468,sub_8C01C468,61,61,0,11,20,9,0
0x8C01C4E2,sub_8C01C4E2,22,22,0,5,3,1,0
0x8C01C568,sub_8C01C568,363,363,0,84,72,51,0
0x8C01C570,sub_8C01C570,359,359,0,84,72,51,0
0x8C01C900,sub_8C01C900,164,164,0,46,22,21,0
0x8C01CA48,sub_8C01CA48,38,38,0,10,8,6,0
0x8C01CB08,sub_8C01CB08,211,211,0,48,41,41,0
0x8C01CB10,sub_8C01CB10,207,207,0,48,41,41,0
0x8C01CD3C,sub_8C01CD3C,18,18,0,2,6,1,0
0x8C01CD78,sub_8C01CD78,232,232,0,71,66,49,0
0x8C01D044,sub_8C01D044,105,105,0,32,30,27,0
0x8C01D190,sub_8C01D190,36,36,0,9,11,9,0
0x8C01D1D8,sub_8C01D1D8,42,42,0,8,10,7,0
0x8C01D22C,sub_8C01D22C,34,34,0,6,8,4,0
0x8C01D2D2,sub_8C01D2D2,47,47,0,12,11,9,0
0x8C01D2D4,sub_8C01D2D4,46,46,0,11,11,8,0
0x8C01D37A,sub_8C01D37A,29,29,0,5,9,4,0
0x8C01D4AC,sub_8C01D4AC,172,172,0,52,51,33,0
0x8C01D69C,sub_8C01D69C,70,70,0,19,26,18,0
0x8C01D7B0,sub_8C01D7B0,233,233,0,57,53,49,0
0x8C01DADC,sub_8C01DADC,27,27,0,7,2,1,0
0x8C01DB74,sub_8C01DB74,85,85,0,20,16,8,0
0x8C01DC1E,sub_8C01DC1E,126,126,0,28,16,4,0
0x8C01DD88,sub_8C01DD88,39,39,0,8,10,3,0
0x8C01DDD6,sub_8C01DDD6,127,127,0,18,13,2,0
0x8C01DF26,sub_8C01DF26,18,18,0,5,1,0,0
0x8C01DF4A,sub_8C01DF4A,77,77,0,11,8,2,0
0x8C01E000,sub_8C01E000,15,15,0,2,5,1,0
0x8C01E01E,sub_8C01E01E,83,83,0,11,13,2,0
0x8C01E0FC,sub_8C01E0FC,32,32,0,7,1,0,0
0x8C01E13C,sub_8C01E13C,15,15,0,1,2,0,0
0x8C01E15A,sub_8C01E15A,191,191,0,25,32,4,0
0x8C01E30A,sub_8C01E30A,18,18,0,4,3,2,0
0x8C01E378,sub_8C01E378,42,42,0,10,5,2,0
0x8C01E3CC,sub_8C01E3CC,48,48,0,15,6,5,0
0x8C01E42C,sub_8C01E42C,8,8,0,3,1,0,0
0x8C01E43C,sub_8C01E43C,4,4,0,1,2,0,0
0x8C01E474,sub_8C01E474,23,23,0,4,4,1,0
0x8C01E4A2,sub_8C01E4A2,75,75,0,20,6,6,0
0x8C01E56C,sub_8C01E56C,71,71,0,10,17,8,0
0x8C01E5CC,sub_8C01E5CC,22,22,0,3,4,2,0
0x8C01E5F8,sub_8C01E5F8,41,41,0,8,5,3,0
0x8C01E672,sub_8C01E672,56,56,0,14,8,4,0
0x8C01E6F0,sub_8C01E6F0,4,4,0,1,2,1,0
0x8C01E6F8,sub_8C01E6F8,7,7,0,1,2,1,0
0x8C01E742,sub_8C01E742,24,24,0,2,2,1,0
0x8C01E772,sub_8C01E772,42,42,0,7,6,3,0
0x8C01E83E,sub_8C01E83E,26,26,0,5,2,1,0
0x8C01E872,sub_8C01E872,35,35,0,8,3,1,0
0x8C01E90C,sub_8C01E90C,39,39,0,4,7,4,0
0x8C01E990,sub_8C01E990,41,41,0,4,6,4,0
0x8C01E9E2,sub_8C01E9E2,10,10,0,1,4,0,0
0x8C01E9F6,sub_8C01E9F6,53,53,0,9,7,2,0
0x8C01EA8E,sub_8C01EA8E,33,33,0,5,9,5,0
0x8C01EAD0,sub_8C01EAD0,13,13,0,1,1,0,0
0x8C01EAEA,sub_8C01EAEA,21,21,0,5,2,1,0
0x8C01EB14,sub_8C01EB14,107,107,0,26,12,8,0
0x8C01EC4A,sub_8C01EC4A,24,24,0,5,2,1,0
0x8C01EC7A,sub_8C01EC7A,7,7,0,1,2,1,0
0x8C01EC88,sub_8C01EC88,17,17,0,5,2,4,0
0x8C01ECAA,sub_8C01ECAA,24,24,0,5,2,4,0
0x8C01ED38,sub_8C01ED38,24,24,0,2,2,1,0
0x8C01EDBC,sub_8C01EDBC,12,12,0,1,2,1,0
