target,references,clustered_references,instructions,calls,stage
0x8C0B3034,5,4,0,0,candidate
0x8C11D0BC,5,4,0,0,candidate
0x8C149B2E,5,4,0,0,candidate
0x8C173D68,5,4,0,0,candidate
0x8C01C568,4,4,0,0,candidate
0x8C01F5FC,4,4,0,0,candidate
0x8C022D9C,4,4,0,0,candidate
0x8C022DE2,4,4,0,0,candidate
0x8C02DD86,4,4,0,0,candidate
0x8C034E28,4,4,0,0,candidate
0x8C03E358,4,4,0,0,candidate
0x8C03E792,4,4,0,0,candidate
0x8C0585CA,4,4,0,0,candidate
0x8C059074,4,4,0,0,candidate
0x8C05BEF8,4,4,0,0,candidate
0x8C05C0F2,4,4,0,0,candidate
0x8C06F010,4,4,0,0,candidate
0x8C06F0D0,4,4,0,0,candidate
0x8C0721F0,4,4,0,0,candidate
0x8C077428,4,4,0,0,candidate
0x8C07E4B4,4,4,0,0,candidate
0x8C08EEE0,4,4,0,0,candidate
0x8C098700,4,4,0,0,candidate
0x8C0993AC,4,4,0,0,candidate
0x8C0B3824,4,4,0,0,candidate
0x8C0B72F0,4,4,0,0,candidate
0x8C0C3690,4,4,0,0,candidate
0x8C11CE54,4,4,0,0,candidate
0x8C11CE58,4,4,0,0,candidate
0x8C11CE5C,4,4,0,0,candidate
0x8C11D044,4,4,0,0,candidate
0x8C125A4C,4,4,0,0,candidate
0x8C12724C,4,4,0,0,candidate
0x8C128D28,4,4,0,0,candidate
0x8C12A8F4,4,4,0,0,candidate
0x8C12EC08,4,4,0,0,candidate
0x8C136D90,4,4,0,0,candidate
0x8C1386A8,4,4,0,0,candidate
0x8C13FD34,4,4,0,0,candidate
0x8C140F94,4,4,0,0,candidate
0x8C141024,4,4,0,0,candidate
0x8C141084,4,4,0,0,candidate
0x8C141F14,4,4,0,0,candidate
0x8C1423C4,4,4,0,0,candidate
0x8C142544,4,4,0,0,candidate
0x8C142C64,4,4,0,0,candidate
0x8C1473C8,4,4,0,0,candidate
0x8C1473CC,4,4,0,0,candidate
0x8C1473D0,4,4,0,0,candidate
0x8C1473D4,4,4,0,0,candidate
0x8C1473D8,4,4,0,0,candidate
0x8C15FEAA,4,4,0,0,candidate
0x8C161874,4,4,0,0,candidate
0x8C16BA68,4,4,0,0,candidate
0x8C16BA80,4,4,0,0,candidate
0x8C170EB0,4,4,0,0,candidate
0x8C1718DC,4,4,0,0,candidate
0x8C171A6C,4,4,0,0,candidate
0x8C173844,4,4,0,0,candidate
0x8C173DD8,4,4,0,0,candidate
0x8C1743EC,17,3,0,0,candidate
0x8C070B90,11,3,0,0,candidate
0x8C08C864,10,3,0,0,candidate
0x8C15D1A2,9,3,0,0,candidate
0x8C03378C,7,3,0,0,candidate
0x8C03FA18,6,3,0,0,candidate
0x8C155A80,6,3,0,0,candidate
0x8C0B677C,5,3,0,0,candidate
0x8C1486A0,5,3,0,0,candidate
0x8C159448,5,3,0,0,candidate
0x8C174098,5,3,0,0,candidate
0x8C00F400,4,3,0,0,candidate
0x8C01940E,4,3,0,0,candidate
0x8C01E8B8,4,3,0,0,candidate
0x8C01F4CA,4,3,0,0,candidate
0x8C03341C,4,3,0,0,candidate
0x8C058AA0,4,3,0,0,candidate
0x8C05BECA,4,3,0,0,candidate
0x8C05F44C,4,3,0,0,candidate
0x8C060354,4,3,0,0,candidate
0x8C06EAF0,4,3,0,0,candidate
0x8C06EB70,4,3,0,0,candidate
0x8C06EDC0,4,3,0,0,candidate
0x8C06EF40,4,3,0,0,candidate
0x8C11D094,4,3,0,0,candidate
0x8C128BF4,4,3,0,0,candidate
0x8C1296B0,4,3,0,0,candidate
0x8C158DCC,4,3,0,0,candidate
0x8C15E628,4,3,0,0,candidate
0x8C15FAF8,4,3,0,0,candidate
0x8C171AAC,4,3,0,0,candidate
0x8C173E14,4,3,0,0,candidate
0x8C1740A8,4,3,0,0,candidate
0x8C008000,3,3,0,0,candidate
0x8C01E6F8,3,3,0,0,candidate
0x8C01EAD0,3,3,0,0,candidate
0x8C01ECAA,3,3,0,0,candidate
0x8C02A5CA,3,3,0,0,candidate
0x8C0323D0,3,3,0,0,candidate
0x8C036318,3,3,0,0,candidate
0x8C03ADEC,3,3,0,0,candidate
0x8C03B318,3,3,0,0,candidate
0x8C03E2A0,3,3,0,0,candidate
0x8C03F15E,3,3,0,0,candidate
0x8C0435E2,3,3,0,0,candidate
0x8C043706,3,3,0,0,candidate
0x8C0438C0,3,3,0,0,candidate
0x8C046460,3,3,0,0,candidate
0x8C05B56C,3,3,0,0,candidate
0x8C05C0E6,3,3,0,0,candidate
0x8C05CEB0,3,3,0,0,candidate
0x8C05F42E,3,3,0,0,candidate
0x8C067494,3,3,0,0,candidate
0x8C06E810,3,3,0,0,candidate
0x8C06F860,3,3,0,0,candidate
0x8C06F880,3,3,0,0,candidate
0x8C06F8A0,3,3,0,0,candidate
0x8C073A00,3,3,0,0,candidate
0x8C0749E0,3,3,0,0,candidate
0x8C075A00,3,3,0,0,candidate
0x8C0765B0,3,3,0,0,candidate
0x8C0767C0,3,3,0,0,candidate
0x8C07749A,3,3,0,0,candidate
0x8C077F7C,3,3,0,0,candidate
0x8C0788A0,3,3,0,0,candidate
0x8C07C5B8,3,3,0,0,candidate
0x8C089A70,3,3,0,0,candidate
0x8C08A952,3,3,0,0,candidate
0x8C08FE18,3,3,0,0,candidate
0x8C096E18,3,3,0,0,candidate
0x8C097540,3,3,0,0,candidate
0x8C098058,3,3,0,0,candidate
0x8C098818,3,3,0,0,candidate
0x8C098C50,3,3,0,0,candidate
0x8C09CA74,3,3,0,0,candidate
0x8C0A2D5C,3,3,0,0,candidate
0x8C0A2D80,3,3,0,0,candidate
0x8C0B3704,3,3,0,0,candidate
0x8C0B384C,3,3,0,0,candidate
0x8C0B3AA4,3,3,0,0,candidate
0x8C0BCB14,3,3,0,0,candidate
0x8C0C0284,3,3,0,0,candidate
0x8C0C0FCC,3,3,0,0,candidate
0x8C10CAB8,3,3,0,0,candidate
0x8C10CE5C,3,3,0,0,candidate
0x8C10E69C,3,3,0,0,candidate
0x8C10EAD8,3,3,0,0,candidate
0x8C111080,3,3,0,0,candidate
0x8C111084,3,3,0,0,candidate
0x8C1110C8,3,3,0,0,candidate
0x8C1110CC,3,3,0,0,candidate
0x8C11110C,3,3,0,0,candidate
0x8C111110,3,3,0,0,candidate
0x8C111150,3,3,0,0,candidate
0x8C111154,3,3,0,0,candidate
0x8C113E70,3,3,0,0,candidate
0x8C118700,3,3,0,0,candidate
0x8C11B650,3,3,0,0,candidate
0x8C11CE50,3,3,0,0,candidate
0x8C11CFF8,3,3,0,0,candidate
0x8C11D02C,3,3,0,0,candidate
0x8C128A6C,3,3,0,0,candidate
0x8C128ABC,3,3,0,0,candidate
0x8C128ACC,3,3,0,0,candidate
0x8C128ADC,3,3,0,0,candidate
0x8C128AE0,3,3,0,0,candidate
0x8C128BE4,3,3,0,0,candidate
0x8C128C04,3,3,0,0,candidate
0x8C128C24,3,3,0,0,candidate
0x8C129CCC,3,3,0,0,candidate
0x8C12A8EC,3,3,0,0,candidate
0x8C12A92A,3,3,0,0,candidate
0x8C12D2A8,3,3,0,0,candidate
0x8C12D2B0,3,3,0,0,candidate
0x8C12D2B4,3,3,0,0,candidate
0x8C12F1A8,3,3,0,0,candidate
0x8C131714,3,3,0,0,candidate
0x8C136E80,3,3,0,0,candidate
0x8C136EA4,3,3,0,0,candidate
0x8C137098,3,3,0,0,candidate
0x8C1370C8,3,3,0,0,candidate
0x8C1387FC,3,3,0,0,candidate
0x8C142554,3,3,0,0,candidate
0x8C1427B4,3,3,0,0,candidate
0x8C142A14,3,3,0,0,candidate
0x8C142CA4,3,3,0,0,candidate
0x8C142CD4,3,3,0,0,candidate
0x8C14E916,3,3,0,0,candidate
0x8C14F7A8,3,3,0,0,candidate
0x8C14F8AC,3,3,0,0,candidate
0x8C14FD82,3,3,0,0,candidate
0x8C15071C,3,3,0,0,candidate
0x8C150750,3,3,0,0,candidate
0x8C152FA0,3,3,0,0,candidate
0x8C15335A,3,3,0,0,candidate
0x8C154F40,3,3,0,0,candidate
0x8C1551C0,3,3,0,0,candidate
0x8C15901A,3,3,0,0,candidate
0x8C15DD4C,3,3,0,0,candidate
0x8C1606B0,3,3,0,0,candidate
0x8C16274A,3,3,0,0,candidate
0x8C164EA8,3,3,0,0,candidate
0x8C166DD2,3,3,0,0,candidate
0x8C16A040,3,3,0,0,candidate
0x8C16A424,3,3,0,0,candidate
0x8C170ECC,3,3,0,0,candidate
0x8C170F98,3,3,0,0,candidate
0x8C174328,3,3,0,0,candidate
0x8C156D36,10,2,0,0,candidate
0x8C15E99C,10,2,0,0,candidate
0x8C052DBA,7,2,0,0,candidate
0x8C08A6B8,6,2,0,0,candidate
0x8C10CBDC,6,2,0,0,candidate
0x8C155A48,6,2,0,0,candidate
0x8C091084,5,2,0,0,candidate
0x8C12D2A4,5,2,0,0,candidate
0x8C147748,5,2,0,0,candidate
0x8C15A540,5,2,0,0,candidate
0x8C01EC7A,4,2,0,0,candidate
0x8C0271D8,4,2,0,0,candidate
0x8C0336C8,4,2,0,0,candidate
0x8C033B12,4,2,0,0,candidate
0x8C062270,4,2,0,0,candidate
0x8C06ECD0,4,2,0,0,candidate
0x8C08CF20,4,2,0,0,candidate
0x8C08F5D8,4,2,0,0,candidate
0x8C128DB8,4,2,0,0,candidate
0x8C1681C4,4,2,0,0,candidate
0x8C1737E8,4,2,0,0,candidate
0x8C03B1EC,3,2,0,0,candidate
0x8C05BE5C,3,2,0,0,candidate
0x8C05C00C,3,2,0,0,candidate
0x8C0683B0,3,2,0,0,candidate
0x8C07753C,3,2,0,0,candidate
0x8C08F8C0,3,2,0,0,candidate
0x8C08FA24,3,2,0,0,candidate
0x8C0B33CC,3,2,0,0,candidate
0x8C0B4158,3,2,0,0,candidate
0x8C0F3AD4,3,2,0,0,candidate
0x8C10B910,3,2,0,0,candidate
0x8C10CCA4,3,2,0,0,candidate
0x8C10CD3C,3,2,0,0,candidate
0x8C124244,3,2,0,0,candidate
0x8C1295A0,3,2,0,0,candidate
0x8C1295A4,3,2,0,0,candidate
0x8C12A5EC,3,2,0,0,candidate
0x8C12BA20,3,2,0,0,candidate
0x8C12D2A0,3,2,0,0,candidate
0x8C131728,3,2,0,0,candidate
0x8C147348,3,2,0,0,candidate
0x8C14734C,3,2,0,0,candidate
0x8C147370,3,2,0,0,candidate
0x8C147530,3,2,0,0,candidate
0x8C147CF8,3,2,0,0,candidate
0x8C15D110,3,2,0,0,candidate
0x8C15F9B0,3,2,0,0,candidate
0x8C162436,3,2,0,0,candidate
0x8C173DE4,3,2,0,0,candidate
0x8C1742EC,3,2,0,0,candidate
0x8C00FC00,2,2,0,0,candidate
0x8C010060,2,2,0,0,candidate
0x8C019C14,2,2,0,0,candidate
0x8C01D190,2,2,0,0,candidate
0x8C01D69C,2,2,0,0,candidate
0x8C01E43C,2,2,0,0,candidate
0x8C01EAEA,2,2,0,0,candidate
0x8C01EDBC,2,2,0,0,candidate
0x8C020D78,2,2,0,0,candidate
0x8C022D30,2,2,0,0,candidate
0x8C026D10,2,2,0,0,candidate
0x8C027280,2,2,0,0,candidate
0x8C02802A,2,2,0,0,candidate
0x8C028924,2,2,0,0,candidate
0x8C02B910,2,2,0,0,candidate
0x8C02F4CA,2,2,0,0,candidate
0x8C030B34,2,2,0,0,candidate
0x8C030EB4,2,2,0,0,candidate
0x8C030EC4,2,2,0,0,candidate
0x8C030EEE,2,2,0,0,candidate
0x8C031B94,2,2,0,0,candidate
0x8C032210,2,2,0,0,candidate
0x8C03232A,2,2,0,0,candidate
0x8C0331B8,2,2,0,0,candidate
0x8C033A7C,2,2,0,0,candidate
0x8C0350A6,2,2,0,0,candidate
0x8C035B30,2,2,0,0,candidate
0x8C035F24,2,2,0,0,candidate
0x8C0360A2,2,2,0,0,candidate
0x8C0369EC,2,2,0,0,candidate
0x8C036CE4,2,2,0,0,candidate
0x8C03A870,2,2,0,0,candidate
0x8C03B098,2,2,0,0,candidate
0x8C03E154,2,2,0,0,candidate
0x8C03E43C,2,2,0,0,candidate
0x8C03E4D0,2,2,0,0,candidate
0x8C03E700,2,2,0,0,candidate
0x8C03E776,2,2,0,0,candidate
0x8C03EA54,2,2,0,0,candidate
0x8C03EC48,2,2,0,0,candidate
0x8C03ED46,2,2,0,0,candidate
0x8C03EF3E,2,2,0,0,candidate
0x8C03F4BC,2,2,0,0,candidate
0x8C041178,2,2,0,0,candidate
0x8C042A66,2,2,0,0,candidate
0x8C0440A4,2,2,0,0,candidate
0x8C044940,2,2,0,0,candidate
0x8C044964,2,2,0,0,candidate
0x8C045BAC,2,2,0,0,candidate
0x8C0464AE,2,2,0,0,candidate
0x8C0464DE,2,2,0,0,candidate
0x8C048FD6,2,2,0,0,candidate
0x8C04BA04,2,2,0,0,candidate
0x8C04BA42,2,2,0,0,candidate
0x8C04D58C,2,2,0,0,candidate
0x8C04D5FA,2,2,0,0,candidate
0x8C0503E6,2,2,0,0,candidate
0x8C0504F6,2,2,0,0,candidate
0x8C05072C,2,2,0,0,candidate
0x8C050740,2,2,0,0,candidate
0x8C0537EC,2,2,0,0,candidate
0x8C0586E0,2,2,0,0,candidate
0x8C05872E,2,2,0,0,candidate
